"arc_length"	"U_Magnitude_eq25","U_MagnitudeMRT"
153.088	2.24808e-06	5.72897e-08
153.344	2.24808e-06	5.72897e-08
153.6	2.24808e-06	5.72897e-08
153.856	2.24808e-06	5.72897e-08
154.112	2.04265e-06	5.88259e-08
154.368	2.04265e-06	5.88259e-08
154.624	2.04265e-06	5.88259e-08
154.88	2.04265e-06	5.88259e-08
155.136	1.54988e-06	6.0494e-08
155.392	1.54988e-06	6.0494e-08
155.648	1.54988e-06	6.0494e-08
155.904	1.54988e-06	6.0494e-08
156.16	1.57659e-06	5.83934e-08
156.416	1.57659e-06	5.83934e-08
156.672	1.57659e-06	5.83934e-08
156.928	1.57659e-06	5.83934e-08
157.184	1.53876e-06	5.50079e-08
157.44	1.53876e-06	5.50079e-08
157.696	1.53876e-06	5.50079e-08
157.952	1.53876e-06	5.50079e-08
158.208	9.53888e-07	5.6148e-08
158.464	9.53888e-07	5.6148e-08
158.72	9.53888e-07	5.6148e-08
158.976	9.53888e-07	5.6148e-08
159.232	2.14888e-06	5.99904e-08
159.488	2.14888e-06	5.99904e-08
159.744	2.14888e-06	5.99904e-08
160	2.14888e-06	5.99904e-08
160.256	4.59816e-06	6.21165e-08
160.512	4.59816e-06	6.21165e-08
160.768	4.59816e-06	6.21165e-08
161.024	6.96328e-06	6.23493e-08
161.28	6.96328e-06	6.23493e-08
161.536	6.96328e-06	6.23493e-08
161.792	6.96328e-06	6.23493e-08
162.048	8.15658e-06	6.15631e-08
162.304	8.15658e-06	6.15631e-08
162.56	8.15658e-06	6.15631e-08
162.816	8.15658e-06	6.15631e-08
163.072	6.91792e-06	6.02248e-08
163.328	6.91792e-06	6.02248e-08
163.584	6.91792e-06	6.02248e-08
163.84	6.91792e-06	6.02248e-08
164.096	4.08174e-06	5.85401e-08
164.352	4.08174e-06	5.85401e-08
164.608	4.08174e-06	5.85401e-08
164.864	4.08174e-06	5.85401e-08
165.12	9.64361e-06	5.66266e-08
165.376	9.64361e-06	5.66266e-08
165.632	9.64361e-06	5.66266e-08
165.888	9.64361e-06	5.66266e-08
166.144	1.83552e-05	5.45733e-08
166.4	1.83552e-05	5.45733e-08
166.656	1.83552e-05	5.45733e-08
166.912	1.83552e-05	5.45733e-08
167.168	2.32003e-05	5.24472e-08
167.424	2.32003e-05	5.24472e-08
167.68	2.32003e-05	5.24472e-08
167.936	2.32003e-05	5.24472e-08
168.192	2.0996e-05	5.02969e-08
168.448	2.0996e-05	5.02969e-08
168.704	2.0996e-05	5.02969e-08
168.96	2.0996e-05	5.02969e-08
169.216	1.27302e-05	4.81571e-08
169.472	1.27302e-05	4.81571e-08
169.728	1.27302e-05	4.81571e-08
169.984	1.27302e-05	4.81571e-08
170.24	6.06513e-06	4.60519e-08
170.496	6.06513e-06	4.60519e-08
170.752	6.06513e-06	4.60519e-08
171.008	1.09765e-05	4.39985e-08
171.264	1.09765e-05	4.39985e-08
171.52	1.09765e-05	4.39985e-08
171.776	1.09765e-05	4.39985e-08
172.032	1.43559e-05	4.20083e-08
172.288	1.43559e-05	4.20083e-08
172.544	1.43559e-05	4.20083e-08
172.8	1.43559e-05	4.20083e-08
173.056	1.35017e-05	4.00887e-08
173.312	1.35017e-05	4.00887e-08
173.568	1.35017e-05	4.00887e-08
173.824	1.35017e-05	4.00887e-08
174.08	1.00377e-05	3.82442e-08
174.336	1.00377e-05	3.82442e-08
174.592	1.00377e-05	3.82442e-08
174.848	1.00377e-05	3.82442e-08
175.104	5.8673e-06	3.64772e-08
175.36	5.8673e-06	3.64772e-08
175.616	5.8673e-06	3.64772e-08
175.872	5.8673e-06	3.64772e-08
176.128	2.3902e-06	3.47881e-08
176.384	2.3902e-06	3.47881e-08
176.64	2.3902e-06	3.47881e-08
176.896	2.3902e-06	3.47881e-08
177.152	8.90565e-07	3.31764e-08
